"Source:","C:\Projects\Amplifier Project\PCB\Amplifier\Amplifier.kicad_sch"
"Date:","6/16/2022 2:51:03 PM"
"Tool:","Eeschema (6.0.5)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","32"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"C1, C3, C5, C7, ","4","0.1u","C","Capacitor_THT:C_Rect_L4.0mm_W2.5mm_P2.50mm","Unpolarized capacitor",""
"C2, ","1","10u","C_Polarized_US","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","Polarized capacitor, US symbol",""
"C4, ","1","100u","C_Polarized_US","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","Polarized capacitor, US symbol",""
"C6, ","1","5.6u","C","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","Unpolarized capacitor",""
"C8, ","1","560u","C_Polarized_US","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","Polarized capacitor, US symbol",""
"D1, ","1","Red RA LED","LED","LED_THT:LED_D3.0mm_Horizontal_O1.27mm_Z6.0mm","Light emitting diode",""
"D2, ","1","SA24A","D_Zener","Diode_THT:D_DO-15_P12.70mm_Horizontal","Zener diode",""
"D3, D4, ","2","1N4002","1N4002","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","100V 1A General Purpose Rectifier Diode, DO-41",""
"FB1, ","1","998 OHM","L_Ferrite_Small","28C0236-0EW-10:FB_28C0236-0EW-10","Inductor with ferrite core, small symbol",""
"H1, H2, H3, H4, ","4","MountingHole","MountingHole","MountingHole:MountingHole_3.2mm_M3_Pad","Mounting Hole without connection",""
"J1, ","1","PJ-063AH","PJ-063AH","CUI_PJ-063AH","",""
"J2, ","1","SJ1-3543N","SJ1-3543N","CUI_SJ1-3543N","",""
"J3, ","1","B02B-XASK-1LFSN","B02B-XASK-1LFSN","footprints1:B02B-XASK-1LFSN","",""
"R1, ","1","4.42k","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor",""
"R2, ","1","3.57k","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor",""
"R3, ","1","240","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor",""
"R4, ","1","2.7","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor",""
"RV1, ","1","10k","R_Potentiometer_US","PTV09A-2020F-A103:PTV09A2020FA104","Potentiometer, US symbol",""
"SW1, ","1","PB400EEQR1BLK","PB400EEQR1BLK","PB400EEQR1BLK:PB400EEQR1BLK","",""
"TP1, TP2, TP3, TP4, ","4","TestPoint","TestPoint","Keystone 5000:TestPoint_Keystone_5000-5004_Miniature_01","test point",""
"U1, ","1","LM317_TO-220","LM317_TO-220","Package_TO_SOT_THT:TO-220-3_Vertical","1.5A 35V Adjustable Linear Regulator, TO-220",""
"U2, ","1","LM384","LM384","Package_DIP:DIP-14_W7.62mm","5W Audio Power Amplifier, PDIP-14",""
